               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12086,            0.030421,                   0,            0.010671,                 0.1,           0.0044827,          0.00058413,             0.11777,            0.023556,                   0,             0.00012,             0.00012,             0.09892
                   1,             0.11407,            0.026621,                   0,            0.012107,                 0.3,           0.0062675,          0.00065092,             0.10228,            0.020245,                   0,          0.00024917,          0.00024917,            0.097749
                   2,             0.10462,            0.024845,                   0,           0.0071016,                 0.4,            0.005149,           0.0011495,            0.096134,            0.017784,                   0,          0.00037749,          0.00037749,            0.096577
                   3,            0.096757,            0.025937,                   0,            0.067655,                 0.1,            0.010603,           0.0020522,            0.087129,            0.016699,                   0,          0.00050495,          0.00050495,            0.095405
                   4,            0.093028,            0.025311,                   0,            0.072104,                 0.3,            0.037054,           0.0093281,            0.079589,            0.015935,                   0,          0.00063155,          0.00063155,            0.094232
                   5,            0.086313,            0.024512,                   0,             0.24702,                 0.3,             0.13273,            0.020975,            0.074886,            0.015165,                   0,          0.00075729,          0.00075729,            0.093057
                   6,            0.076777,             0.02583,                   0,             0.54159,                 0.5,             0.44936,              0.1227,            0.065297,            0.014832,                   0,          0.00088218,          0.00088218,            0.091882
                   7,            0.072054,            0.025815,                   0,             0.70931,                 0.5,              0.5016,             0.25493,            0.058897,            0.013517,                   0,           0.0010062,           0.0010062,            0.090706
                   8,            0.063913,             0.02315,                   0,             0.77747,                 0.7,             0.71887,             0.29246,            0.053991,            0.012236,                   0,           0.0011294,           0.0011294,            0.089529
                   9,            0.061486,            0.023355,                   0,             0.74996,             0.59988,             0.67352,             0.18815,            0.055498,             0.01157,                   0,           0.0012517,           0.0012517,            0.088352
                  10,            0.055803,             0.01992,                   0,             0.69997,             0.69992,              0.7203,             0.31947,            0.049936,            0.010571,                   0,           0.0013731,           0.0013731,            0.087173
                  11,            0.054848,            0.019182,                   0,             0.58239,             0.69752,             0.61788,             0.18614,            0.053225,           0.0095001,                   0,           0.0014937,           0.0014937,            0.085994
