               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038765,           0.0097191,           0.0018939,             0.96419,             0.99961,               0.995,             0.70791,            0.023274,           0.0033081,           0.0013883,           0.0063596,           0.0063596,             0.03446
                  36,            0.037027,           0.0089779,           0.0019695,             0.92198,                   1,             0.98357,             0.73496,            0.027384,           0.0033262,           0.0016415,           0.0065121,           0.0065121,            0.032612
                  37,            0.037023,           0.0088003,           0.0020103,             0.99975,             0.95538,               0.995,             0.72309,            0.022891,           0.0033753,           0.0013637,           0.0066633,           0.0066633,            0.030763
                  38,            0.034325,            0.008528,           0.0017325,               0.984,             0.94968,             0.99045,             0.72372,            0.026145,           0.0033272,           0.0013771,           0.0068131,           0.0068131,            0.028913
                  39,            0.034926,           0.0087061,           0.0020015,             0.98133,             0.99977,               0.995,             0.71754,            0.026702,           0.0032177,           0.0011876,           0.0069617,           0.0069617,            0.027062
                  40,            0.034999,            0.008868,              0.0016,             0.98513,              0.9999,               0.995,             0.71264,            0.023807,           0.0032688,           0.0011542,           0.0071089,           0.0071089,            0.025209
                  41,            0.036135,           0.0085981,           0.0018151,             0.84136,             0.94897,              0.9322,             0.52606,            0.044796,           0.0031906,           0.0013171,           0.0072548,           0.0072548,            0.023355
                  42,            0.039108,           0.0086705,           0.0021343,             0.77643,             0.89904,             0.92798,             0.55505,            0.031702,           0.0030119,           0.0017941,           0.0073994,           0.0073994,            0.021499
                  43,            0.039692,           0.0085746,           0.0021665,              0.9638,                   1,               0.995,             0.72759,            0.028361,           0.0030355,           0.0014099,           0.0075427,           0.0075427,            0.019643
                  44,            0.035929,           0.0083852,           0.0017815,             0.92592,                0.95,             0.99045,             0.62038,             0.02466,           0.0029834,           0.0013607,           0.0076847,           0.0076847,            0.017785
                  45,            0.034437,           0.0082971,           0.0015682,              0.8938,             0.94693,             0.94659,             0.66582,            0.025108,           0.0030351,           0.0012901,           0.0078253,           0.0078253,            0.015925
                  46,            0.036655,           0.0088751,           0.0018604,             0.89602,                   1,             0.98591,             0.76575,            0.025198,           0.0032731,           0.0015341,           0.0079646,           0.0079646,            0.014065
                  47,            0.033701,           0.0089899,           0.0022168,             0.97347,                   1,               0.995,             0.74609,            0.029565,           0.0033179,           0.0015435,           0.0081026,           0.0081026,            0.012203
                  48,            0.035222,              0.0084,           0.0016002,             0.92417,                   1,             0.98591,             0.76824,            0.021444,           0.0029597,           0.0011912,           0.0082393,           0.0082393,            0.010339
                  49,            0.034173,           0.0086679,           0.0016801,             0.94804,             0.99983,             0.97227,             0.78234,            0.023832,           0.0031405,           0.0014728,           0.0083746,           0.0083746,           0.0084746
                  50,            0.032836,           0.0084611,           0.0021974,             0.98305,              0.9998,               0.995,             0.69842,            0.023605,           0.0032841,           0.0012679,             0.00835,             0.00835,             0.00835
                  51,            0.033239,           0.0087071,           0.0017042,             0.97946,             0.89101,               0.939,             0.65611,            0.022723,           0.0033099,           0.0010372,             0.00835,             0.00835,             0.00835
                  52,            0.031611,           0.0084198,           0.0014741,             0.96358,             0.99998,               0.995,             0.81339,            0.022532,           0.0030277,           0.0010573,            0.008317,            0.008317,            0.008317
                  53,            0.032392,           0.0078036,           0.0015707,             0.90787,             0.99999,             0.98357,              0.7735,            0.022915,           0.0028636,           0.0012158,            0.008284,            0.008284,            0.008284
                  54,            0.032889,           0.0089241,           0.0016113,             0.97639,             0.99983,               0.995,             0.81678,            0.022377,           0.0030199,           0.0013614,            0.008251,            0.008251,            0.008251
                  55,            0.031413,           0.0086528,           0.0013933,             0.98868,             0.99985,               0.995,             0.77601,            0.021425,           0.0027245,           0.0010053,            0.008218,            0.008218,            0.008218
                  56,            0.030128,           0.0084228,            0.001436,             0.98773,             0.99813,               0.995,             0.65278,            0.024425,           0.0030976,          0.00096132,            0.008185,            0.008185,            0.008185
                  57,            0.033504,           0.0078007,           0.0015476,              0.9753,                   1,               0.995,             0.74064,             0.02462,           0.0029116,          0.00094971,            0.008152,            0.008152,            0.008152
                  58,             0.03141,           0.0085216,           0.0013258,             0.96626,             0.99999,               0.995,             0.74236,            0.018923,           0.0028156,          0.00093163,            0.008119,            0.008119,            0.008119
                  59,            0.029271,           0.0074608,           0.0012649,             0.98027,             0.99976,               0.995,             0.74058,            0.023497,           0.0026793,           0.0008912,            0.008086,            0.008086,            0.008086
